,R0,R1,PMOS_Num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11,1000000,0,1,2.94,2.9400000000166,2.94000000109175,2.93999988066409,2.94000686725844,2.94,2.91627852147302,2.83755601597109,2.41821129879117,0.367978025249579,-0.000253540034831,4.96696780135049E-05,1.22442192647522E-07,-2.465845465643E-09,-2.19075324803215E-11,-2.99661944312936E-13,-6.94429352328118E-15,-1.12858130557957E-17,4.71468855694242E-19,-1.01589360977502E-20,5.09133145250899E-23,1.16896122515656E-24,-5.03458252818141E-26,2.87384556034254E-28,1.83363761745486E-30,-1.36456665189061E-32,-2.06194737084292E-34,8.18116572979783E-50,1.64920947477215E-38,1.19978378636856E-40,3.15092139260104E-42,3.50128445115141E-44,-6.72797839866213E-47,1.16141269138875E-47,3.25458684294637E-50,-5.38407914076838E-52,-6.01697460582419E-54,-3.97424848892646E-56,-1.80497312120917E-57,-5.77895572148741E-60,1.18596116138678E-61,-3.31765624135954E-63,1.46052945968594E-65,-1.10389874329515E-66,-2.53409998171994E-69,-2.70662642034361E-70,-1.73888307605183E-72,1.28011347973273E-74,-8.84191537918231E-76,-1.05468804918506E-92,0
12,1000000,1000000,1,2.973,2.95707616705642,2.95701122520427,2.95771401180647,2.97247819630801,2.97278558117368,2.95835752495698,2.93798829327156,2.89946382601563,2.85128793474295,2.80708968566455,2.74621697284726,2.68786401041815,2.63017953948591,2.57130290142961,2.52308268425627,2.47121190544232,2.41181953802256,2.35321974604882,2.31989973778767,2.25807021600047,2.19442559834951,1.67,1.25641933868798,0.76644205989467,0.687513987795019,0.655623296727089,0.585979671725839,0.52535793411859,0.447214948277201,0.412974993156473,0.363002830968135,0.285320185611002,0.224135626055944,0.183739345501625,0.139397970420952,0.090436507802113,0.033956999296859,0.004266490303173,-0.017582155388594,-0.030965306654109,-0.033033359436688,-0.032999740844179,-0.032999996384645,-0.032999999993589,-0.033000000000273,-0.033000000000002,-0.033,-0.033,-0.033,-0.033
13,249000,0,1,2.94,2.94000000022355,2.94000001463436,2.93999540774645,2.94009523884614,2.92364805833993,2.93246371111838,2.90475778492807,2.79887985175606,2.23183811268524,0.009896177723339,-0.035457838296309,-0.049981288145863,-0.05000069327943,-0.05000001066098,-0.049999999678737,-0.049999999992783,-0.049999999999988,-0.050000000000002,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
14,249000,249000,1,2.923,2.92300000000004,2.92300000000229,2.92299999929367,2.9230000146486,2.92299966409704,2.92279902780825,2.90610415810542,2.88443168898381,2.85144309334673,2.80704451792688,2.75014881839584,2.70408801235282,2.66232225017866,2.59988723877076,2.55134857170671,2.48239456364116,2.43742141636944,2.37623165848941,2.32655413131371,2.25094734163685,2.17761037643915,2.105,0.727234840344163,0.646223384016024,0.588167531487207,0.527788747082414,0.484,0.421018607974935,0.383201107918407,0.307564044957601,0.260748220816286,0.200355512180424,0.154955344505481,0.099147983157464,0.056797979532034,0.015537201957571,-0.000730161787003,-0.035613581009361,-0.066865832613245,-0.067006741977107,-0.066999876947536,-0.067000000616755,-0.067000000013403,-0.06699999999992,-0.067000000000004,-0.067,-0.067,-0.067,-0.067,-0.067
15,39000,0,1,2.957,2.957,2.9569999999999,2.95700000001302,2.95699999939074,2.95700001385661,2.9570078154148,2.95582109943545,2.93925476291314,2.89817831998989,2.64504362112599,2.30464198083358,-0.033440038621315,0.006600230382046,0.000129564078374,0.001134013576679,-0.03479358361378,-0.033002991001409,-0.032999854480769,-0.033000002806901,-0.032999999979356,-0.032999999999712,-0.033000000000013,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
16,39000,249000,1,2.94,2.93999999666837,2.93999977977572,2.94006709103952,2.93862510625611,2.9491122517034,2.95135919914649,2.93991322163145,2.93904465094932,2.94066719178239,2.92293170224926,2.92298461013817,2.92245662354955,2.9061056992673,2.90600672238013,2.90606899525486,2.88832954643586,2.88994759180856,2.87170857519807,2.87297388908284,2.87448072766026,2.85584715134378,2.856,2.84085387084794,2.82953868923638,2.82304003826392,2.81767518745039,2.79,2.77976512677201,2.77439981201109,2.75498796172939,2.70862265072469,1.24584350073374,0.981701645248456,0.659132904673816,0.447617785703254,0.183017208363361,0.073046387561079,-0.003353933493931,-0.033809807021937,-0.050080862810705,-0.050000687354337,-0.049999997028575,-0.050000000177019,-0.049999962054722,-0.050000832506505,-0.050075896224723,-0.034211505008044,-0.04944244191093,-0.05,-0.05
17,39000,4000,1,2.957,2.95699999999568,2.95699999971626,2.95700003101508,2.95699821521828,2.957,2.93659274046197,2.95480630892476,2.94018081858132,2.89369802527747,2.75892354119945,2.56104513808323,2.3113187761082,1.86527079364942,0.190939853970944,0.118695997856917,0.101557668305356,0.083955774232841,0.085639958503892,0.066889361703541,0.067070644947589,0.045565451110679,0.049732806339322,0.049827214598988,0.032343569318828,0.033003332957292,0.033297709903187,0.017,0.016910159881085,0.01704452390608,0.00336383160115,3.51117492161889E-05,-4.51170021668502E-06,-0.004025191738501,-0.026255500662317,-0.033022914180551,-0.033000256077296,-0.033000001691406,-0.033000000076818,-0.033000000000246,-0.032999999999995,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
18,39,0,1,2.957,2.95479392504859,2.95511133365265,2.95659301308383,2.95047793666221,2.95700823082705,2.95699817780315,2.95732318689007,2.94433912520341,2.94715879861581,2.93998087754222,2.94029322807857,2.9224641696773,2.91040919299543,2.88686654173099,2.85676972877125,2.77786290694135,2.7050809054948,2.58282459631454,2.44122895975287,0.746496994381603,0.219112972448902,0.150613915241864,0.107922740339589,0.08165790105072,0.051299839852015,0.029232134819082,0.017623786306337,0.016578230671478,0.000379369941295,2.53760920327507E-05,0.001723173268035,-0.033014144748676,-0.033000701142455,-0.032999993017463,-0.033000000141851,-0.033000000001186,-0.033000000000017,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
19,39,100,1,2.94,2.94635188744533,2.95702502198962,2.95486999060534,2.95707350299139,2.95699985894333,2.95699999446158,2.95700001047412,2.95700060974057,2.95708287569303,2.9407556006632,2.94004812542403,2.94038335620115,2.9251770399561,2.889271797901,2.8741387268664,2.82356690144726,2.75509761835732,2.67811630643026,2.56711832051675,2.37531433314196,0.37979328042863,0.252914167520219,0.191038516463225,0.130484758444223,0.08623624388252,0.071601688593282,0.05,0.032933171958801,0.017429900405261,0.018701294511529,-0.00014822481843,0.000418205713094,-0.032639173339374,-0.033003583517579,-0.032999927832924,-0.032999999462677,-0.0329999933368,-0.033000146032409,-0.033003340941181,-0.031462973228197,-0.038238425572913,-0.032990275951895,-0.032999776934397,-0.032999999617406,-0.032999999945122,-0.03299999999965,-0.033000000000003,-0.033,-0.033,-0.033
20,400,0,1,2.94,2.9399993150412,2.93995446190005,2.95369851443881,2.94034005301835,2.93920606527785,2.95009769065505,2.940025779067,2.9399994632564,2.94000034597941,2.93998248799434,2.94395065566727,2.92181512809624,2.89145339099221,2.83053467044572,2.77627473269899,2.67765607566174,2.51896482497948,2.16549190343024,0.306058479437012,0.157479782347131,0.112214253154301,0.084,0.052454013049558,0.047433027987023,0.020129191305094,0.017011549058592,-1.0842021724855E-19,2.85273016104236E-05,-0.000112307147549,-0.012084285817051,-0.032501959008275,-0.033000581195856,-0.033000068744824,-0.032999999721669,-0.03300000000567,-0.033000000000048,-0.033000000000001,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033
