BV,X,Y,etime,gap,width,ngr,sigma,depth
-244.712558392,-0.03759765625,4.4687890625,2632.155061960221,1.97,1.82,14,0.0472,0.18
-192.21395874,-0.1083984375,4.508837890630001,1932.0637226104736,3.73,0.39,15,0.0421,0.12
-299.602619192,0.13232421875,4.5397558593800005,6342.015130996704,2.87,1.44,27,0.0864,0.37
-184.00037055299998,-0.12255859375,4.5036621093800004,3745.5674073696136,2.6,4.56,20,0.0515,0.11
-526.260072821,0.373046875,4.44833984375,5674.807040929793,1.49,0.94,24,0.0494,0.57
-802.8262973569999,0.033203125,32.368671875,4804.370588302612,1.15,3.48,6,0.0969,0.27
-265.497034391,0.146484375,4.525390625,5000.308499574661,4.92,3.38,13,0.0691,0.35
-372.473386646,-0.080078125,38.8084960938,3689.637674570084,0.58,2.84,10,0.0961,0.21
-204.86752613,-0.002197265625,4.49462890625,3808.3867013454437,3.92,2.73,24,0.0369,0.21
-665.206340097,0.5712890625,4.4925390625,5507.474210023879,1.56,0.32,13,0.0827,0.73
-174.42022414099998,-0.17919921875,4.5048828125,4020.6877970695496,4.74,4.15,18,0.0594,0.05
-229.060940182,0.6845703125,4.4825,6621.950346946716,3.53,3.29,27,0.0409,0.92
-196.007375875,-0.25,4.551640625,3956.635990619659,1.81,1.62,26,0.0739,0.04
-317.98097207,-0.25,25.114375,3467.3184912204742,0.47,1.39,11,0.0968,0.13
-253.130291095,0.2880859375,4.493671875,1288.0518198013306,2.51,0.38,1,0.0479,0.53
-115.891907746,-0.16857910156300002,4.493188476559999,2253.6894171237946,3.52,4.45,5,0.012,0.08
-296.603215652,0.6845703125,4.5070019531300005,7408.779594898224,3.76,4.73,23,0.0718,0.87
-226.684157537,0.30224609375,4.46494140625,3185.868891477585,3.15,2.58,8,0.0378,0.51
-185.43377090400003,-0.06591796875,4.4853125,1931.1295063495638,2.7,1.48,3,0.0433,0.15
-198.527664816,-0.09423828125,4.505703125,2277.117412090301,3.64,1.42,7,0.0586,0.15
-190.272234735,-0.22853037985599997,4.53578125,3246.535440683365,2.38,3.41,14,0.0561,0.08
-408.033709885,0.21728515625,4.51171875,2752.061017274857,2.16,4.84,2,0.0987,0.38
-178.03033045400002,0.4296875,4.490185546869999,3417.592873334885,2.84,2.96,14,0.0227,0.67
-514.072402086,0.638549804688,64.9951171875,8150.853591442108,1.17,4.88,10,0.0182,0.87
-265.338415119,0.13232421875,4.551782226559999,3708.106416940689,4.1,1.41,15,0.0777,0.37
-146.528932768,-0.0906982421875,4.4734375,4209.274846076964,1.35,4.3,21,0.0112,0.15
-186.226017105,-0.0517578125,4.498046875,1055.2930057048798,3.6,2.93,0,0.0431,0.17
-257.77592683,0.52880859375,4.4994140625,6049.1689555645,3.06,1.81,22,0.0445,0.76
-189.461774007,-0.15087890625,4.49802734375,4760.656403303145,2.54,2.63,24,0.0761,0.06
-223.946858605,0.592529296875,4.504833984369999,2605.116581916809,4.7,4.17,5,0.0389,0.82
-428.038789714,0.07568359375,4.5215625,4641.919495820999,1.61,2.88,14,0.0786,0.26
-387.628517129,0.65625,45.270703125,5741.91975069046,0.41,3.29,11,0.0962,0.87
-277.827874296,0.13232421875,4.52935546875,1158.8526542186735,2.66,1.47,1,0.0709,0.36
-211.90221091200002,-0.03759765625,4.4734277343699995,4943.613222837448,2.7,2.18,23,0.0558,0.18
-334.91176432599997,0.38720703125,32.694375,4851.1149406433115,0.31,1.03,21,0.0805,0.61
-220.85337481599998,0.564208984375,4.49775390625,3335.355398416519,4.77,0.43,12,0.0293,0.79
-297.41135933099997,0.712890625,4.50354003906,4314.382429122925,3.0,0.69,25,0.0508,0.93
-168.429373756,-0.25,4.51014648438,2095.769490480423,3.54,3.1,8,0.0527,0.05
-295.245773526,0.203125,4.51279296875,3564.670554161072,3.18,0.54,16,0.083,0.4
-182.45813675,-0.087158203125,4.460234375,1143.6556792259214,1.33,0.26,4,0.0228,0.15
-129.293828738,-0.1083984375,4.48541748047,3466.6326797008514,4.89,3.02,23,0.0182,0.13
-218.60264935,0.27392578125,5.364140625,1115.1612799167633,0.61,0.32,1,0.0217,0.5
-388.04083536699994,0.146484375,4.515625,4244.950578689575,2.22,3.96,11,0.095,0.34
-261.939496134,0.30224609375,4.52077148438,5274.831216812134,3.16,2.88,26,0.0602,0.52
-305.276216051,0.13232421875,4.56296875,4675.553698062897,2.8,2.67,18,0.0919,0.36
-181.33140848,0.266845703125,4.4969140625,2970.9553620815277,3.46,2.52,17,0.0181,0.51
-413.61594710199995,0.447387695313,84.93743164060001,9149.821012496948,0.83,4.2,16,0.0101,0.69
-219.434918874,0.365966796875,4.48381835938,6953.827391862868,3.11,4.01,24,0.045,0.58
-273.104352011,0.479248046875,4.501171875,3199.8389055728912,3.54,4.03,10,0.0656,0.66
-382.139898178,0.50048828125,4.51150390625,1530.42924451828,2.08,1.25,1,0.0545,0.72
-172.19251884599998,0.553588867188,4.48278808594,5197.388108253479,3.4,4.76,27,0.0157,0.79
-140.77165209700001,-0.25,4.5183105468800004,2556.494449853897,2.07,2.93,15,0.0254,0.07
-151.20595575,0.10400390625,4.4729956054699995,4618.475207090378,2.78,4.69,27,0.0177,0.34
-298.77125839999997,0.373046875,4.5578613281300004,7908.041213035583,3.84,4.07,25,0.0888,0.58
