experimentid,BV,time,gap,width,ngr,sigma,depth
233,-552.062056534,2292.273989200592,1.51,0.76,1,0.088,0.69
229,-295.409870704,30578.297243118286,3.59,2.05,23,0.0127,0.4
265,-678.240039842,8429.231272935867,0.92,3.4,6,0.02,0.57
232,-370.994350045,23628.09010386467,4.35,2.78,18,0.0477,0.73
262,-419.263156105,9611.505426645279,4.46,2.69,9,0.0963,0.48
189,-1018.97667741,31578.07581305504,1.66,3.85,12,0.0352,0.68
273,-486.573924529,24571.810227155685,1.65,1.2,25,0.0825,0.16
280,-341.265555813,14825.942794322968,3.1,1.52,15,0.033,0.52
240,-410.64466013599997,7290.13077878952,3.43,1.74,5,0.062,0.53
253,-698.674201574,35576.01950144768,0.95,2.8,19,0.03,0.88
198,-290.513629981,5848.6468143463135,3.67,0.86,2,0.0163,0.37
199,-445.65646359699997,19968.836688518524,3.93,1.07,8,0.0692,0.77
248,-405.633274089,35180.200786590576,0.39,1.67,24,0.015,0.79
251,-536.2092988969999,10899.831296920776,0.27,2.95,14,0.0991,0.57
261,-427.90280610300005,7450.425743341446,4.52,0.57,13,0.0825,0.72
254,-472.274750499,4382.816849708557,4.18,4.89,4,0.0842,0.96
256,-406.899855517,2570.1765460968018,0.75,2.52,1,0.0372,0.93
207,-560.1672039719999,10767.65832901001,2.0,0.9,20,0.0948,0.32
216,-398.92315846199995,10674.689902067184,4.62,2.0,15,0.0836,0.36
227,-386.69353109599996,12348.898728132248,4.01,1.62,17,0.0713,0.37
208,-733.37029816,13430.2277572155,0.9,4.93,5,0.0225,0.25
268,-647.666582384,5909.580505847931,1.11,0.84,6,0.0825,0.71
211,-436.0985433999999,5200.819803476334,4.64,0.79,7,0.0939,0.64
215,-475.97739978199996,22688.58021402359,1.42,2.69,23,0.0511,0.15
258,-465.18729799,7930.049649477005,1.84,4.74,6,0.0501,0.25
263,-477.033458576,4936.49112033844,4.2,1.26,7,0.0893,0.91
270,-383.891286836,32355.972392082214,3.51,0.7,30,0.0509,0.67
217,-752.9758352639999,7440.302293539047,2.4,1.29,9,0.0796,0.89
218,-512.1133523369999,27638.514934062958,3.07,3.84,27,0.078,0.63
287,-647.6077592380001,28863.58578658104,2.22,1.51,30,0.0741,0.56
279,-323.33800279999997,24682.913038015366,3.87,1.86,25,0.0521,0.25
225,-856.91728166,26140.61224937439,1.92,2.09,26,0.0758,0.62
291,-604.745846666,6695.918001651764,2.29,1.21,5,0.0968,0.47
228,-499.719851544,18501.69392633438,0.69,1.53,11,0.0266,0.78
288,-314.755109837,18026.16773700714,4.46,3.66,18,0.0217,0.4
295,-494.11432591199997,8691.007625102997,2.74,3.94,6,0.0955,0.36
237,-346.812207302,26390.386890888214,3.87,4.31,7,0.0395,0.68
271,-528.8091364080001,8509.076608896255,0.8,2.68,22,0.0544,0.02
277,-280.860654957,41137.21145772934,1.21,4.63,27,0.0151,0.08
239,-623.594841622,15741.276764631271,1.59,4.86,3,0.0125,0.51
260,-665.9521881640001,23667.654502391815,2.07,4.51,31,0.0941,0.37
241,-494.6331096,2726.6261792182922,2.55,1.88,1,0.0498,0.56
285,-292.31084997700003,23790.12351512909,2.8,1.9,12,0.0558,0.14
242,-488.10451740699995,10392.185636758804,3.09,1.67,15,0.0811,0.64
292,-855.818205551,38061.22840881348,0.92,2.84,21,0.0783,0.58
286,-383.143074436,4493.664600133896,4.08,1.76,2,0.0769,0.35
245,-501.17261273599996,15090.866032361984,2.64,0.89,22,0.0454,0.95
266,-289.255702824,30508.883286237717,3.02,4.5,21,0.0131,0.43
289,-380.635091211,6428.770878791809,4.34,0.25,9,0.0504,0.64
246,-322.35899360900004,25450.250702619553,4.62,2.82,18,0.0134,0.74
275,-320.36105314599996,4994.430009841919,1.28,1.0,17,0.0507,0.02
278,-337.463057629,30006.766501665115,3.99,1.87,26,0.0397,0.6
247,-258.431162024,36584.18229460716,2.82,1.19,26,0.0303,0.11
298,-564.036492677,14021.282668113708,0.76,1.67,16,0.0643,0.7
299,-496.07806126699995,41416.349457740784,0.51,0.66,9,0.0508,0.29
294,-897.8087614010001,10088.304089307785,1.9,1.89,11,0.0702,0.68
