id,Total_Charge,BV,X,Y,3.5V,4.5V,Ron,Vf,gap,width,ngr,sigma,depth
567,5.75850309915e-9,-268.282330211,0.142944335938,574.931791992,40945918.4977,169853765.38,0.000953692703821,4.68659785263,2.62,1.2,8,0.0131,0.38
568,8.48954965254e-9,-534.193838157,0.47216796875,595.765839844,27237673.1655,99234841.3584,0.00165446431672,5.61469405153,1.44,3.75,4,0.0299,0.71
569,7.53443219405e-9,-424.336546409,0.47216796875,594.810333252,27047474.4057,98610566.8502,0.00165958357538,5.62190100771,1.26,2.71,5,0.0169,0.72
570,4.57846079352e-9,-180.272770903,0.0296630859375,574.992894287,49399991.0755,216559534.779,0.000798375918937,4.41742212056,4.85,3.26,7,0.0125,0.27
571,6.5264588221e-9,-329.937251825,0.47216796875,574.995380859,27776670.1941,101605001.826,0.00166423554929,5.55862739373,3.57,0.77,7,0.0547,0.68
572,5.76245770903e-9,-269.111391617,0.096923828125,574.982629395,45208072.3149,189991283.457,0.000807140119559,4.55816378613,2.69,4.76,2,0.0429,0.31
573,9.33696257903e-9,-647.046539324,0.203125,575.002441406,40093665.9916,163610085.119,0.00110793186005,4.73565796237,1.64,0.86,26,0.0988,0.36
574,7.37960341686e-9,-413.54399331,0.309326171875,574.999487305,32858902.5051,126486725.957,0.00128690682809,5.11880638668,1.52,0.91,10,0.0215,0.54
575,8.5394974356e-9,-532.276777104,0.35888671875,629.537890625,31173636.5641,117522520.891,0.00153527145249,5.25529671787,0.81,3.09,14,0.0261,0.58
576,7.15162713953e-9,-392.478768344,0.272355451043,575.045129395,35406769.417,139636894.867,0.00147500717899,4.96125433269,3.51,2.64,17,0.0845,0.46
577,6.83430685635e-9,-360.00457904,0.5712890625,574.997973633,25056865.5722,89170286.7431,0.00193127244198,5.88675614453,4.38,2.18,5,0.076,0.78
578,4.31598178343e-9,-159.104947077,-0.2216796875,575.03774231,73882408.7093,337186735.134,0.000643285032708,4.05002714109,3.13,4.2,19,0.0322,0.06
579,5.71402216341e-9,-259.251982286,0.705810546875,585.372729492,22347958.5968,77826165.0964,0.00207545008604,6.2799311581,0.83,0.47,8,0.0248,0.94
580,6.15021664329e-9,-293.140275513,0.465087890625,574.949462891,27996655.121,102943124.26,0.00222829605747,5.52720511712,3.15,1.32,30,0.029,0.68
581,6.30403571826e-9,-311.361660161,-0.0517578125,575.060898437,54439846.2798,235739867.825,0.000650628123773,4.3345478241,4.81,1.11,3,0.0908,0.18
583,8.33910414635e-9,-518.479750231,0.6845703125,574.958880615,23290332.6869,81980490.7804,0.00201176101017,6.11567949682,2.12,1.49,5,0.043,0.88
584,6.38424519601e-9,-317.629588956,0.259765625,575.011633301,33978550.9425,130742487.856,0.00145559746012,5.06972963444,2.75,4.03,11,0.0461,0.5
585,8.31421164294e-9,-514.685614721,0.41552734375,581.315268555,28908143.4055,106546800.724,0.00233943175487,5.4491343423,1.6,4.76,26,0.0195,0.65
586,7.54963577557e-9,-432.174229304,0.4013671875,574.991381836,30289325.1461,112484847.953,0.00166717657522,5.34250422823,2.37,1.48,17,0.0675,0.59
587,6.07836428312e-9,-293.893049468,0.281005859375,574.977851562,34767677.8954,135319430.379,0.00170937063047,5.01533775171,4.56,1.73,23,0.0518,0.48
588,9.43003295579e-9,-639.503269,0.07568359375,575.004663086,46409638.1352,198169472.396,0.000815481769427,4.50978394436,1.0,1.72,12,0.031,0.3
